0,0,BOX 22 Matyja ,00.00.00
06.42.36,16.01.30,BOX 217 ,09.18.54
05.43.33,16.01.00,BOX 28 ,10.17.27
10.35.32,10.35.32,BOX 8 ,00.00.00
06.38.54,16.07.30,BOX 200 ,09.28.36
06.52.20,15.59.34,BOX 288 ,09.07.14
04.38.57,15.55.27,BOX 30 ,11.16.30
06.35.07,15.59.47,BOX 293 ,09.24.40
06.25.33,16.02.14,BOX 219 ,09.36.41
06.44.18,16.02.03,BOX 279 ,09.17.45
